subject_id,property_id,object_id,reference_uri,reference_supporting_text,reference_date,property_label,property_description,property_uri
rxcui:7818,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,inhibitor,interaction score = 0.2966124918118496,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:344,RO:0011002,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,modulator,interaction score = 0.1186449967247398,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:332,RO:0011002,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,modulator,interaction score = 0.1186449967247398,http://purl.obolibrary.org/obo/RO_0011002
rxcui:136198,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,inhibitor,interaction score = 0.0741531229529624,http://purl.obolibrary.org/obo/RO_0002408
rxcui:203168,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,inhibitor,interaction score = 0.0131827774138599,http://purl.obolibrary.org/obo/RO_0002408
rxcui:9601,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,inhibitor,interaction score = 0.0741531229529624,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:341,RO:0011002,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,modulator,interaction score = 0.1483062459059248,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:303,RO:0002406,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,agonist,interaction score = 0.1483062459059248,http://purl.obolibrary.org/obo/RO_0002406
rxcui:10869,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,inhibitor,interaction score = 0.0539295439657908,http://purl.obolibrary.org/obo/RO_0002408
rxcui:11201,RO:0011002,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,modulator,interaction score = 0.1186449967247398,http://purl.obolibrary.org/obo/RO_0011002
rxcui:322167,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,inhibitor,interaction score = 0.0593224983623699,http://purl.obolibrary.org/obo/RO_0002408
rxcui:32675,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,inhibitor,interaction score = 0.0539295439657908,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:309,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,inhibitor,interaction score = 0.1186449967247398,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:11498,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,inhibitor,interaction score = 0.5932249836236992,http://purl.obolibrary.org/obo/RO_0002408
ncit:C152278,RO:0002406,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,agonist,interaction score = 0.1483062459059248,http://purl.obolibrary.org/obo/RO_0002406
iuphar.ligand:6937,RO:0002406,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,agonist,interaction score = 0.1186449967247398,http://purl.obolibrary.org/obo/RO_0002406
ncit:C132273,RO:0002406,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,agonist,interaction score = 0.1483062459059248,http://purl.obolibrary.org/obo/RO_0002406
iuphar.ligand:322,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,inhibitor,interaction score = 0.1483062459059248,http://purl.obolibrary.org/obo/RO_0002408
ncit:C81044,RO:0002406,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,agonist,interaction score = 0.0593224983623699,http://purl.obolibrary.org/obo/RO_0002406
rxcui:1223,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,inhibitor,interaction score = 0.0348955872719823,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:8584,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,inhibitor,interaction score = 0.1186449967247398,http://purl.obolibrary.org/obo/RO_0002408
ncit:C152880,RO:0011002,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,modulator,interaction score = 0.1483062459059248,http://purl.obolibrary.org/obo/RO_0011002
rxcui:235426,RO:0002406,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,agonist,interaction score = 0.031222367559142,http://purl.obolibrary.org/obo/RO_0002406
iuphar.ligand:11499,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,inhibitor,interaction score = 0.5932249836236992,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:10104,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,inhibitor,interaction score = 0.0988708306039498,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:8586,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,inhibitor,interaction score = 0.1483062459059248,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:8583,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,inhibitor,interaction score = 0.1483062459059248,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:7633,RO:0011002,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,modulator,interaction score = 0.2966124918118496,http://purl.obolibrary.org/obo/RO_0011002
rxcui:19257,RO:0002406,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,agonist,interaction score = 0.084746426231957,http://purl.obolibrary.org/obo/RO_0002406
iuphar.ligand:291,RO:0002406,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,agonist,interaction score = 0.1186449967247398,http://purl.obolibrary.org/obo/RO_0002406
iuphar.ligand:340,RO:0011002,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,modulator,interaction score = 0.0741531229529624,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:302,RO:0002406,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,agonist,interaction score = 0.084746426231957,http://purl.obolibrary.org/obo/RO_0002406
iuphar.ligand:326,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,inhibitor,interaction score = 0.1483062459059248,http://purl.obolibrary.org/obo/RO_0002408
rxcui:2102775,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-16,inhibitor,interaction score = 0.0988708306039498,http://purl.obolibrary.org/obo/RO_0002408
