subject_id,property_id,object_id,reference_uri,reference_supporting_text,reference_date,property_label,property_description,property_uri
chembl:CHEMBL155265,CHEMINF:000481,chembl:CHEMBL284028,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL155265,CHEMINF:000481,chembl:CHEMBL168276,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL155265,CHEMINF:000481,chembl:CHEMBL77387,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL155265,CHEMINF:000481,chembl:CHEMBL139935,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL155265,CHEMINF:000481,chembl:CHEMBL166486,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL155265,CHEMINF:000481,chembl:CHEMBL523200,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL155265,CHEMINF:000481,chembl:CHEMBL1256291,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL155265,CHEMINF:000481,chembl:CHEMBL116548,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL155265,CHEMINF:000481,chembl:CHEMBL477841,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL155265,CHEMINF:000481,chembl:CHEMBL599098,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1336287,CHEMINF:000481,chembl:CHEMBL318743,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1336287,CHEMINF:000481,chembl:CHEMBL591628,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1336287,CHEMINF:000481,chembl:CHEMBL1556914,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1336287,CHEMINF:000481,chembl:CHEMBL17347,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1336287,CHEMINF:000481,chembl:CHEMBL1322879,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1336287,CHEMINF:000481,chembl:CHEMBL1371413,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1336287,CHEMINF:000481,chembl:CHEMBL1613209,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1336287,CHEMINF:000481,chembl:CHEMBL1256291,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1336287,CHEMINF:000481,chembl:CHEMBL241858,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1336287,CHEMINF:000481,chembl:CHEMBL428789,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1329029,CHEMINF:000481,chembl:CHEMBL1498652,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1329029,CHEMINF:000481,chembl:CHEMBL55814,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1329029,CHEMINF:000481,chembl:CHEMBL51931,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1329029,CHEMINF:000481,chembl:CHEMBL192627,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1329029,CHEMINF:000481,chembl:CHEMBL294264,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1329029,CHEMINF:000481,chembl:CHEMBL580421,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1329029,CHEMINF:000481,chembl:CHEMBL15193,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1329029,CHEMINF:000481,chembl:CHEMBL43612,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1329029,CHEMINF:000481,chembl:CHEMBL590186,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1329029,CHEMINF:000481,chembl:CHEMBL290914,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL103583,CHEMINF:000481,chembl:CHEMBL1490332,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL103583,CHEMINF:000481,chembl:CHEMBL274921,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL103583,CHEMINF:000481,chembl:CHEMBL1607517,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL103583,CHEMINF:000481,chembl:CHEMBL51931,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL103583,CHEMINF:000481,chembl:CHEMBL1725279,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL103583,CHEMINF:000481,chembl:CHEMBL1453126,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL103583,CHEMINF:000481,chembl:CHEMBL297304,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL103583,CHEMINF:000481,chembl:CHEMBL242171,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL103583,CHEMINF:000481,chembl:CHEMBL55814,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL103583,CHEMINF:000481,chembl:CHEMBL268368,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1354502,CHEMINF:000481,chembl:CHEMBL491981,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1354502,CHEMINF:000481,chembl:CHEMBL348436,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1354502,CHEMINF:000481,chembl:CHEMBL570408,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1354502,CHEMINF:000481,chembl:CHEMBL153505,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1354502,CHEMINF:000481,chembl:CHEMBL465980,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1354502,CHEMINF:000481,chembl:CHEMBL1518159,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1354502,CHEMINF:000481,chembl:CHEMBL563919,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1354502,CHEMINF:000481,chembl:CHEMBL464433,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1354502,CHEMINF:000481,chembl:CHEMBL583578,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1354502,CHEMINF:000481,chembl:CHEMBL52884,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1889303,CHEMINF:000481,chembl:CHEMBL494255,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1889303,CHEMINF:000481,chembl:CHEMBL433680,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1889303,CHEMINF:000481,chembl:CHEMBL472437,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1889303,CHEMINF:000481,chembl:CHEMBL598263,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1889303,CHEMINF:000481,chembl:CHEMBL465226,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1889303,CHEMINF:000481,chembl:CHEMBL486196,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1889303,CHEMINF:000481,chembl:CHEMBL1899565,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1889303,CHEMINF:000481,chembl:CHEMBL1902074,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1889303,CHEMINF:000481,chembl:CHEMBL338474,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL1889303,CHEMINF:000481,chembl:CHEMBL458178,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL55814,CHEMINF:000481,chembl:CHEMBL210208,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL55814,CHEMINF:000481,chembl:CHEMBL51931,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL55814,CHEMINF:000481,chembl:CHEMBL570408,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL55814,CHEMINF:000481,chembl:CHEMBL294264,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL55814,CHEMINF:000481,chembl:CHEMBL244707,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
chembl:CHEMBL55814,CHEMINF:000481,chembl:CHEMBL1607517,NA,This edge comes from calculating the Tanimo similarity score on the smiles structures,2025-10-16,similar to,NA,http://semanticscience.org/resource/CHEMINF_000481
